	Cell	cell_type
0	F1S4_160108_001_B01	Lamp5
1	F1S4_160108_003_H01	Vip
2	F1S4_160108_004_B01	Lamp5
3	F1S4_160108_005_C01	Lamp5
4	F1S4_160108_006_G01	Lamp5
5	F1S4_160108_009_E01	Vip
6	F1S4_160108_009_H01	Sst
7	F1S4_160108_011_C01	Sst
8	F1S4_160108_011_D01	Vip
9	F1S4_160108_012_C01	Pvalb
10	F1S4_160108_012_E01	Sst
11	F1S4_160108_012_G01	Lamp5
12	F1S4_160108_014_G01	Sst
13	F1S4_161209_001_G01	L6 CT
14	F1S4_161209_002_H01	L6 CT
15	F1S4_161209_006_A01	L6 CT
16	F1S4_161209_007_A01	L6 CT
17	F1S4_161209_007_C01	L6 CT
18	F1S4_161209_008_A01	L6 CT
19	F1S4_161209_008_H01	L6 CT
20	F1S4_161209_009_F01	L6 CT
21	F1S4_161209_010_B01	L6 CT
22	F1S4_170426_010_B01	Vip
23	F1S4_170426_010_E01	Vip
24	F1S4_170426_010_H01	Lamp5
25	F1S4_170426_011_C01	Lamp5
26	F1S4_170426_011_F01	Lamp5
27	F1S4_170426_015_D01	Vip
28	F1S4_170426_017_H01	Vip
29	F1S4_180108_302_C01	Sst
30	F1S4_180108_303_B01	Endo
31	F1S4_180108_303_H01	Sst
32	F1S4_180124_301_C01	L2/3 IT
33	F1S4_180124_301_E01	Lamp5
34	F1S4_180124_303_G01	Lamp5
35	F1S4_180124_307_E01	L2/3 IT
36	F1S4_180124_307_G01	Sncg
37	F1S4_180124_309_B01	Sncg
38	F1S4_180124_309_D01	Sncg
39	F1S4_180124_309_G01	Lamp5
40	F1S4_180124_310_F01	Lamp5
41	F1S4_180124_311_E01	L2/3 IT
42	F1S4_180124_312_A01	L2/3 IT
43	F1S4_180129_301_H01	Sst
44	F1S4_180129_304_C01	Pvalb
45	F1S4_180129_305_H01	Pvalb
46	F1S4_180129_307_C01	Sst
47	F1S4_180129_308_D01	Pvalb
48	F1S4_180129_309_C01	Pvalb
49	F1S4_180129_310_D01	Pvalb
50	F1S4_180129_311_C01	Sst
51	F1S4_180129_311_D01	Sst
52	F1S4_180129_313_H01	Sst
53	F1S4_180129_315_G01	Sst
54	F1S4_180130_309_D01	Vip
55	F1S4_180130_309_G01	Lamp5
56	F1S4_180130_330_H01	Lamp5
57	F1S4_180130_331_E01	Sst
58	F1S4_180130_332_C01	Lamp5
59	F1S4_180130_333_G01	Sst
60	F1S4_180130_334_A01	L6 CT
61	F1S4_180130_335_G01	Sst
62	F1S4_180130_354_A01	Lamp5
63	F1S4_180130_356_D01	Sst
64	F2S4_151217_009_E01	Vip
65	F2S4_151217_009_F01	Vip
66	F2S4_151217_011_B01	L2/3 IT
67	F2S4_151217_011_D01	L6 CT
68	F2S4_151217_011_G01	L6 IT
69	F2S4_151217_013_H01	L6 IT
70	F2S4_151223_001_G01	Lamp5
71	F2S4_151223_003_B01	Lamp5
72	F2S4_151223_004_B01	Vip
73	F2S4_151223_005_A01	Vip
74	F2S4_151223_006_D01	Lamp5
75	F2S4_151223_006_E01	Vip
76	F2S4_151223_006_G01	Vip
77	F2S4_151223_007_B01	Lamp5
78	F2S4_151223_007_E01	Sst
79	F2S4_151223_008_A01	Sst
80	F2S4_151223_009_E01	Pvalb
81	F2S4_151223_010_D01	Sst
82	F2S4_151223_012_E01	Sncg
83	F2S4_151223_012_G01	Sst
84	F2S4_151223_017_B01	Sncg
85	F2S4_160113_001_C01	L2/3 IT
86	F2S4_160113_001_D01	L2/3 IT
87	F2S4_160113_002_E01	L2/3 IT
88	F2S4_160113_002_G01	L2/3 IT
89	F2S4_160113_003_D01	L2/3 IT
90	F2S4_160113_004_A01	L2/3 IT
91	F2S4_160113_005_C01	L2/3 IT
92	F2S4_160113_006_C01	L2/3 IT
93	F2S4_160113_006_D01	L2/3 IT
94	F2S4_160113_007_G01	L4
95	F2S4_160113_008_H01	L4
96	F2S4_160113_010_F01	L4
97	F2S4_160113_011_H01	L4
98	F2S4_160113_012_C01	NP
99	F2S4_160113_014_D01	NP
100	F2S4_160113_014_G01	NP
101	F2S4_160113_015_C01	CC1
102	F2S4_160113_015_D01	L5 PT
103	F2S4_160113_015_F01	CC2
104	F2S4_160113_018_G01	L6 IT
105	F2S4_160113_020_F01	L6 IT
106	F2S4_160113_024_A01	L6 CT
107	F2S4_160113_025_G01	L6 IT
108	F2S4_160114_001_B01	Sst
109	F2S4_160114_001_D01	Sst
110	F2S4_160114_001_H01	Sncg
111	F2S4_160114_003_F01	Sst
112	F2S4_160114_004_E01	Pvalb
113	F2S4_160114_005_F01	Vip
114	F2S4_160114_006_C01	Lamp5
115	F2S4_160114_006_H01	Vip
116	F2S4_160114_007_E01	Pvalb
117	F2S4_160114_008_F01	Vip
118	F2S4_160114_013_H01	Sncg
119	F2S4_160114_014_H01	Lamp5
120	F2S4_160114_015_A01	Sst
121	F2S4_160114_016_E01	Lamp5
122	F2S4_160114_017_G01	Vip
123	F2S4_160114_019_H01	Vip
124	F2S4_160114_021_E01	Vip
125	F2S4_160115_007_F01	Vip
126	F2S4_160115_008_A01	Astro
127	F2S4_160115_008_G01	Vip
128	F2S4_160115_009_B01	Vip
129	F2S4_160115_009_D01	Sncg
130	F2S4_160115_010_A01	Vip
131	F2S4_160115_011_H01	Sst
132	F2S4_160115_012_G01	Astro
133	F2S4_160115_013_F01	Sst
134	F2S4_160115_013_G01	Astro
135	F2S4_160115_014_C01	Astro
136	F2S4_160115_015_C01	Vip
137	F2S4_160115_017_D01	Sst
138	F2S4_160115_020_B01	Vip
139	F2S4_160115_020_D01	Sst
140	F2S4_160115_021_D01	Sst
141	F2S4_160115_021_E01	Pvalb
142	F2S4_160115_022_B01	Vip
143	F2S4_160115_022_F01	Vip
144	F2S4_160115_024_D01	Astro
145	F2S4_160115_025_C01	Astro
146	F2S4_160115_025_H01	Vip
147	F2S4_160115_026_F01	Astro
148	F2S4_160115_027_E01	Sncg
149	F2S4_160119_004_D01	Vip
150	F2S4_160119_005_A01	Vip
151	F2S4_160119_005_F01	Vip
152	F2S4_160119_007_G01	Lamp5
153	F2S4_160119_008_A01	Sst
154	F2S4_160119_008_D01	Vip
155	F2S4_160119_009_A01	Astro
156	F2S4_160120_001_D01	L2/3 IT
157	F2S4_160120_002_G01	L2/3 IT
158	F2S4_160120_003_D01	L2/3 IT
159	F2S4_160120_003_H01	L2/3 IT
160	F2S4_160120_004_F01	L2/3 IT
161	F2S4_160120_005_A01	L2/3 IT
162	F2S4_160120_006_H01	L4
163	F2S4_160120_007_F01	L4
164	F2S4_160120_008_C01	L4
165	F2S4_160120_008_D01	L4
166	F2S4_160120_009_C01	L4
167	F2S4_160120_010_F01	L4
168	F2S4_160120_011_B01	L6 IT
169	F2S4_160120_011_D01	L6 IT
170	F2S4_160120_014_F01	L6 IT
171	F2S4_160120_020_F01	L6 IT
172	F2S4_160120_021_E01	L6 IT
173	F2S4_160120_021_G01	L6 CT
174	F2S4_160120_023_E01	L6 IT
175	F2S4_160120_025_F01	L6 CT
176	F2S4_160120_025_G01	L6 IT
177	F2S4_160120_027_A01	L6 IT
178	F2S4_160120_027_C01	L6 CT
179	F2S4_160121_001_F01	L2/3 IT
180	F2S4_160121_003_C01	Vip
181	F2S4_160121_004_F01	Vip
182	F2S4_160121_005_F01	Astro
183	F2S4_160121_007_H01	Astro
184	F2S4_160121_008_G01	Astro
185	F2S4_160121_010_B01	Pvalb
186	F2S4_160121_010_C01	Sst
187	F2S4_160121_011_G01	Vip
188	F2S4_160121_012_A01	Sst
189	F2S4_160121_013_C01	Pvalb
190	F2S4_160121_013_G01	Sncg
191	F2S4_160121_014_G01	Vip
192	F2S4_160121_015_B01	Pvalb
193	F2S4_160121_015_G01	Pvalb
194	F2S4_160121_016_E01	Astro
195	F2S4_160121_016_F01	Pvalb
196	F2S4_160126_005_B01	CC3
197	F2S4_160126_005_E01	NP
198	F2S4_160126_005_F01	NP
199	F2S4_160126_005_G01	CC1
200	F2S4_160126_006_B01	NP
201	F2S4_160126_006_D01	L5 PT
202	F2S4_160126_006_H01	L6 IT
203	F2S4_160126_007_B01	CC3
204	F2S4_160126_008_C01	NP
205	F2S4_160126_008_D01	NP
206	F2S4_160126_009_G01	L5 PT
207	F2S4_160126_010_C01	NP
208	F2S4_160126_011_A01	Vip
209	F2S4_160126_011_C01	L6 CT
210	F2S4_160126_011_G01	L6 CT
211	F2S4_160126_013_C01	L6 CT
212	F2S4_160126_015_F01	L6 IT
213	F2S4_160126_017_D01	L4
214	F2S4_160126_018_B01	L2/3 IT
215	F2S4_160126_018_D01	L2/3 IT
216	F2S4_160126_019_C01	L2/3 IT
217	F2S4_160126_019_D01	L2/3 IT
218	F2S4_160126_019_G01	Vip
219	F2S4_160126_021_H01	L2/3 IT
220	F2S4_160126_023_E01	L4
221	F2S4_160126_023_F01	CC3
222	F2S4_160126_024_F01	L4
223	F2S4_160126_025_D01	L4
224	F2S4_160126_028_A01	L4
225	F2S4_160126_030_C01	L6 CT
226	F2S4_160126_031_E01	L6 CT
227	F2S4_160126_032_H01	L6 CT
228	F2S4_160126_033_F01	L6 CT
229	F2S4_160126_034_E01	L6 IT
230	F2S4_160126_035_D01	L6 CT
231	F2S4_160126_036_E01	L6 CT
232	F2S4_160127_001_A01	L2/3 IT
233	F2S4_160127_001_D01	L2/3 IT
234	F2S4_160127_001_G01	L2/3 IT
235	F2S4_160127_001_H01	L2/3 IT
236	F2S4_160127_002_H01	L2/3 IT
237	F2S4_160127_003_A01	Vip
238	F2S4_160127_003_E01	Vip
239	F2S4_160127_003_F01	L2/3 IT
240	F2S4_160127_004_A01	L2/3 IT
241	F2S4_160127_004_D01	L2/3 IT
242	F2S4_160127_005_A01	L2/3 IT
243	F2S4_160127_005_F01	L2/3 IT
244	F2S4_160127_006_F01	Vip
245	F2S4_160127_006_G01	L2/3 IT
246	F2S4_160127_007_A01	L4
247	F2S4_160127_007_F01	Vip
248	F2S4_160127_007_H01	L4
249	F2S4_160127_008_E01	L4
250	F2S4_160127_008_G01	L4
251	F2S4_160127_009_B01	L4
252	F2S4_160127_009_E01	L4
253	F2S4_160127_011_A01	L4
254	F2S4_160127_011_F01	L4
255	F2S4_160127_014_B01	NP
256	F2S4_160127_015_D01	L6 IT
257	F2S4_160127_015_H01	NP
258	F2S4_160127_016_G01	NP
259	F2S4_160127_017_H01	CC1
260	F2S4_160127_018_A01	L5 PT
261	F2S4_160127_019_G01	L6 IT
262	F2S4_160127_019_H01	Sst
263	F2S4_160127_021_F01	L6 IT
264	F2S4_160127_022_E01	L6 IT
265	F2S4_160127_023_C01	L6 CT
266	F2S4_160127_024_E01	L6 IT
267	F2S4_160127_025_E01	L6 CT
268	F2S4_160127_027_F01	L6 CT
269	F2S4_160127_028_F01	L6 IT
270	F2S4_160127_028_G01	L6 CT
271	F2S4_160127_029_B01	L6 CT
272	F2S4_160127_029_E01	L6 CT
273	F2S4_160127_030_A01	L6 CT
274	F2S4_160128_003_F01	L2/3 IT
275	F2S4_160128_004_D01	Vip
276	F2S4_160128_004_E01	L2/3 IT
277	F2S4_160128_005_D01	L2/3 IT
278	F2S4_160128_006_B01	L2/3 IT
279	F2S4_160128_007_G01	L5 PT
280	F2S4_160128_008_H01	Vip
281	F2S4_160128_009_D01	L4
282	F2S4_160128_010_C01	Sst
283	F2S4_160128_012_E01	L4
284	F2S4_160128_012_H01	L4
285	F2S4_160128_013_A01	CC1
286	F2S4_160128_013_B01	CC1
287	F2S4_160128_014_A01	CC1
288	F2S4_160128_014_B01	L6 IT
289	F2S4_160128_015_H01	NP
290	F2S4_160128_016_E01	L6 IT
291	F2S4_160128_017_D01	CC1
292	F2S4_160128_017_H01	L6 IT
293	F2S4_160128_018_B01	L6 CT
294	F2S4_160128_018_D01	Sst
295	F2S4_160128_018_H01	NP
296	F2S4_160128_019_A01	L6 CT
297	F2S4_160128_019_D01	L6 IT
298	F2S4_160128_021_D01	L6 CT
299	F2S4_160128_022_B01	L6 CT
300	F2S4_160128_022_G01	L6 CT
301	F2S4_160128_022_H01	Vip
302	F2S4_160128_023_D01	L6 CT
303	F2S4_160128_024_A01	Vip
304	F2S4_160128_024_B01	L6 IT
305	F2S4_160128_025_E01	L6 CT
306	F2S4_160128_026_A01	Sst
307	F2S4_160128_027_E01	L6 IT
308	F2S4_160128_027_G01	L6 IT
309	F2S4_160128_028_H01	L6 IT
310	F2S4_160129_009_A01	L6 IT
311	F2S4_160129_015_F01	Sst
312	F2S4_160129_020_G01	L4
313	F2S4_160129_021_H01	L4
314	F2S4_160129_025_A01	L2/3 IT
315	F2S4_160129_025_G01	L2/3 IT
316	F2S4_160129_026_B01	L2/3 IT
317	F2S4_160129_026_F01	L2/3 IT
318	F2S4_160129_027_G01	L2/3 IT
319	F2S4_160129_027_H01	Vip
320	F2S4_160129_028_D01	L2/3 IT
321	F2S4_160129_029_F01	L2/3 IT
322	F2S4_160129_030_F01	L2/3 IT
323	F2S4_160129_030_G01	Lamp5
324	F2S4_160303_013_H01	Sst
325	F2S4_160303_014_G01	Pvalb
326	F2S4_160303_015_A01	Lamp5
327	F2S4_160303_015_G01	Sst
328	F2S4_160303_016_G01	Sst
329	F2S4_160303_019_H01	Vip
330	F2S4_160303_021_A01	Vip
331	F2S4_160303_021_C01	Vip
332	F2S4_160303_022_A01	Vip
333	F2S4_160303_022_C01	Vip
334	F2S4_160303_023_E01	Vip
335	F2S4_160304_002_D01	Astro
336	F2S4_160304_005_A01	Pvalb
337	F2S4_160304_005_B01	Sst
338	F2S4_160304_006_B01	Astro
339	F2S4_160304_009_A01	Sst
340	F2S4_160304_011_C01	Sst
341	F2S4_160304_011_G01	Vip
342	F2S4_160304_014_A01	Vip
343	F2S4_160304_017_F01	Vip
344	F2S4_160304_019_D01	Vip
345	F2S4_160304_020_A01	Astro
346	F2S4_160317_002_G01	L6 IT
347	F2S4_160317_004_F01	L6 IT
348	F2S4_160317_005_A01	L6 CT
349	F2S4_160317_008_D01	CC1
350	F2S4_160317_008_H01	NP
351	F2S4_160317_009_D01	CC1
352	F2S4_160317_011_A01	CC2
353	F2S4_160317_011_D01	CC3
354	F2S4_160317_013_E01	L4
355	F2S4_160317_015_B01	L4
356	F2S4_160317_015_E01	Vip
357	F2S4_160317_015_F01	L4
358	F2S4_160317_016_H01	L4
359	F2S4_160317_019_B01	L2/3 IT
360	F2S4_160317_022_E01	L6 IT
361	F2S4_160317_022_G01	Sst
362	F2S4_160317_023_B01	NP
363	F2S4_160317_023_F01	CC3
364	F2S4_160317_025_G01	CC1
365	F2S4_160317_027_H01	L6 CT
366	F2S4_160317_028_A01	L6 IT
367	F2S4_160317_029_D01	L6 IT
368	F2S4_160317_030_C01	L6 IT
369	F2S4_160317_031_C01	L6 CT
370	F2S4_160317_031_D01	L6 CT
371	F2S4_160317_031_G01	L6 CT
372	F2S4_160321_003_B01	L4
373	F2S4_160321_003_E01	L2/3 IT
374	F2S4_160321_011_A01	NP
375	F2S4_160321_011_B01	L6 IT
376	F2S4_160321_016_F01	L6 CT
377	F2S4_160321_016_G01	L6 CT
378	F2S4_160321_017_F01	L6 IT
379	F2S4_160321_022_B01	L6 IT
380	F2S4_160321_023_A01	CC2
381	F2S4_160321_023_G01	L6 IT
382	F2S4_160321_024_G01	CC3
383	F2S4_160321_025_F01	Lamp5
384	F2S4_160321_026_B01	L6 CT
385	F2S4_160321_028_C01	Lamp5
386	F2S4_160321_028_E01	L6 CT
387	F2S4_160321_029_C01	L6 IT
388	F2S4_160321_030_A01	L6 IT
389	F2S4_160328_005_A01	L5 PT
390	F2S4_160328_006_A01	CC3
391	F2S4_160328_011_F01	L5 PT
392	F2S4_160328_012_F01	L5 PT
393	F2S4_160328_013_D01	L5 PT
394	F2S4_160328_013_E01	L5 PT
395	F2S4_160328_013_F01	CC2
396	F2S4_160328_014_A01	L5 PT
397	F2S4_160328_014_B01	CC3
398	F2S4_160328_014_C01	CC3
399	F2S4_160329_003_D01	L2/3 IT
400	F2S4_160329_004_C01	L2/3 IT
401	F2S4_160329_004_H01	L2/3 IT
402	F2S4_160329_005_D01	L2/3 IT
403	F2S4_160329_005_G01	L2/3 IT
404	F2S4_160329_006_F01	L4
405	F2S4_160329_007_H01	L4
406	F2S4_160329_008_B01	L4
407	F2S4_160329_008_E01	L4
408	F2S4_160329_012_E01	CC3
409	F2S4_160329_013_B01	L6 IT
410	F2S4_160329_015_B01	L4
411	F2S4_160329_016_F01	L6 CT
412	F2S4_160329_016_H01	L6 IT
413	F2S4_160329_018_G01	L6 IT
414	F2S4_160329_019_E01	L6 CT
415	F2S4_160329_020_A01	L6 IT
416	F2S4_160329_020_D01	L6 IT
417	F2S4_160329_023_A01	L6 IT
418	F2S4_160329_023_H01	L6 IT
419	F2S4_160329_024_G01	Sst
420	F2S4_160329_025_A01	L6 IT
421	F2S4_160329_026_B01	CC3
422	F2S4_160329_027_B01	CC3
423	F2S4_160329_028_C01	CC1
424	F2S4_160329_029_F01	L6 IT
425	F2S4_160329_030_D01	L6 IT
426	F2S4_160330_002_A01	L2/3 IT
427	F2S4_160330_006_H01	L6 CT
428	F2S4_160330_008_D01	L6 CT
429	F2S4_160330_009_C01	Sst
430	F2S4_160330_009_D01	L6 CT
431	F2S4_160330_009_F01	L6 CT
432	F2S4_160330_010_C01	L6 CT
433	F2S4_160330_010_E01	L6 IT
434	F2S4_160330_011_F01	L4
435	F2S4_160330_011_G01	L4
436	F2S4_160330_012_E01	Lamp5
437	F2S4_160330_014_A01	L4
438	F2S4_160330_016_A01	L2/3 IT
439	F2S4_160330_016_B01	L2/3 IT
440	F2S4_160330_016_C01	L2/3 IT
441	F2S4_160330_016_D01	L2/3 IT
442	F2S4_160330_016_F01	L2/3 IT
443	F2S4_160330_017_A01	Sncg
444	F2S4_160330_017_E01	L2/3 IT
445	F2S4_160330_018_H01	L2/3 IT
446	F2S4_160330_019_A01	L2/3 IT
447	F2S4_160330_019_G01	L2/3 IT
448	F2S4_160330_021_E01	L4
449	F2S4_160330_022_C01	Sst
450	F2S4_160330_023_A01	L4
451	F2S4_160330_023_E01	L4
452	F2S4_160330_024_B01	L4
453	F2S4_160330_024_D01	Sst
454	F2S4_160330_024_H01	NP
455	F2S4_160330_026_E01	L6 CT
456	F2S4_160330_026_F01	L6 IT
457	F2S4_160330_027_A01	L6 CT
458	F2S4_160330_027_D01	L6 IT
459	F2S4_160330_029_B01	L6 CT
460	F2S4_160330_029_G01	L6 CT
461	F2S4_160331_002_C01	Pvalb
462	F2S4_160331_002_D01	Pvalb
463	F2S4_160401_001_B01	Pvalb
464	F2S4_160401_002_E01	Pvalb
465	F2S4_160404_002_A01	Sncg
466	F2S4_160404_002_D01	Lamp5
467	F2S4_160404_003_B01	Lamp5
468	F2S4_160404_004_C01	Lamp5
469	F2S4_160404_004_H01	Sncg
470	F2S4_160404_005_G01	Lamp5
471	F2S4_160404_007_A01	Lamp5
472	F2S4_160404_007_C01	Astro
473	F2S4_160404_008_C01	Sst
